  oid  |                typname                
 12199 | pg_stat_xact_sys_tables
 12202 | pg_stat_user_tables
 12206 | pg_stat_xact_user_tables
 12209 | pg_statio_all_tables
 12213 | pg_statio_sys_tables
 12216 | pg_statio_user_tables
 12219 | pg_stat_all_indexes
 12223 | pg_stat_sys_indexes
 12226 | pg_stat_user_indexes
 12229 | pg_statio_all_indexes
 12233 | pg_statio_sys_indexes
 12236 | pg_statio_user_indexes
 12239 | pg_statio_all_sequences
 12243 | pg_statio_sys_sequences
 12246 | pg_statio_user_sequences
 12249 | pg_stat_activity
 12253 | pg_stat_replication
 12257 | pg_stat_wal_receiver
 12260 | pg_stat_subscription
 12263 | pg_stat_ssl
 12266 | pg_stat_gssapi
 12269 | pg_replication_slots
 12273 | pg_stat_database
 12277 | pg_stat_database_conflicts
 12280 | pg_stat_user_functions
 12284 | pg_stat_xact_user_functions
 12288 | pg_stat_archiver
 12291 | pg_stat_bgwriter
 12294 | pg_stat_progress_vacuum
 12298 | pg_stat_progress_cluster
 12302 | pg_stat_progress_create_index
 12306 | pg_user_mappings
 12310 | pg_replication_origin_status
 13141 | cardinal_number
 13140 | _cardinal_number
 13144 | character_data
 13143 | _character_data
 13146 | sql_identifier
 13145 | _sql_identifier
 13148 | information_schema_catalog_name
 13151 | time_stamp
 13150 | _time_stamp
 13153 | yes_or_no
 13152 | _yes_or_no
 13156 | applicable_roles
 13160 | administrable_role_authorizations
 13163 | attributes
 13167 | character_sets
 13171 | check_constraint_routine_usage
 13175 | check_constraints
 13179 | collations
 13183 | collation_character_set_applicability
 13187 | column_column_usage
 13191 | column_domain_usage
 13195 | column_privileges
 13199 | column_udt_usage
 13203 | columns
 13207 | constraint_column_usage
 13211 | constraint_table_usage
 13215 | domain_constraints
 13219 | domain_udt_usage
 13223 | domains
 13227 | enabled_roles
 13230 | key_column_usage
 13234 | parameters
 13238 | referential_constraints
 13242 | role_column_grants
 13245 | routine_privileges
 13249 | role_routine_grants
 13252 | routines
 13256 | schemata
 13259 | sequences
 13263 | sql_features
 13265 | pg_toast_13262
 13268 | sql_implementation_info
 13270 | pg_toast_13267
 13273 | sql_languages
 13275 | pg_toast_13272
 13278 | sql_packages
 13280 | pg_toast_13277
 13283 | sql_parts
 13285 | pg_toast_13282
 13288 | sql_sizing
 13290 | pg_toast_13287
 13293 | sql_sizing_profiles
 13295 | pg_toast_13292
 13298 | table_constraints
 13302 | table_privileges
 13306 | role_table_grants
 13309 | tables
 13313 | transforms
 13317 | triggered_update_columns
 13321 | triggers
 13325 | udt_privileges
 13329 | role_udt_grants
 13332 | usage_privileges
 13336 | role_usage_grants
 13339 | user_defined_types
 13343 | view_column_usage
 13347 | view_routine_usage
 13351 | view_table_usage
 13355 | views
 13359 | data_type_privileges
 13363 | element_types
 13367 | _pg_foreign_table_columns
 13371 | column_options
 13374 | _pg_foreign_data_wrappers
 13377 | foreign_data_wrapper_options
 13380 | foreign_data_wrappers
 13383 | _pg_foreign_servers
 13387 | foreign_server_options
 13390 | foreign_servers
 13393 | _pg_foreign_tables
 13397 | foreign_table_options
 13400 | foreign_tables
 13403 | _pg_user_mappings
 13407 | user_mapping_options
 13411 | user_mappings
(406 rows)
